Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一标识,稀有度,花费,标签,更新显示信息用的,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效路径,动作
chaos_orb,2,1,,"self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");",,"self:SetStatus(""Self""); local buffs = { ""Defect_buffsample_electric_orb"", ""Defect_buffsample_ice_orb"", ""Defect_buffsample_plasma_orb"" }; self:AddBuff(buffs[math.random(1, #buffs)], ""1"");",,Icon/Card/混乱,,
*defect_discharge,3,0,,"self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");",,"local p = CS.ScriptExecutor.PlayerInfo; local key = ""Defect_cardsample_defect_discharge""; local st = p.SkillTime; if st == nil then return end; if not st:ContainsKey(key) then st:set_Item(key, 0) end; local cd = st:get_Item(key); if cd > 0 then p.ShowCaption(""技能冷却中""); return end; self:SetStatus(""Self""); self:RunImmediately(""Defect_buffsample_electric_orb"", ""EndRound""); self:RunImmediately(""Defect_buffsample_ice_orb"", ""EndRound""); self:RunImmediately(""Defect_buffsample_plasma_orb"", ""StartRound""); st:set_Item(key, 1);",,Icon/Card/混乱,,
aggregate,2,1,,"self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");",,local p = CS.ScriptExecutor.PlayerInfo; local count = math.floor(p.CardCount / 4); if count > 0 then self:SetStatus("Self"); self:ChangePower(tostring(count)); end,,Icon/Card/混乱,,
all_for_one,3,2,,"self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");",,"self:SetStatus(""Target""); self:Damage(""10""); local mgr = CS.FightCardManager.Instance; if mgr == nil or mgr.usedCardList == nil then return end; for i = 0, mgr.usedCardList.Count - 1 do local card = mgr.usedCardList:get_Item(i); if card ~= nil and card.data ~= nil then local expend = card.data:get_Item(""Expend""); if expend == ""0"" then self:AddCard(card.data:get_Item(""Id"")); end end end",,Icon/Card/混乱,,
auto_shields,2,1,,"self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");",,if self.Self.Defend <= 0 then self:SetStatus("Self"); self:ChangeDefence("11"); end,,Icon/Card/混乱,,
ball_lightning,1,1,,"self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");",,"self:SetStatus(""Target""); self:Damage(""7""); self:SetStatus(""Self""); self:AddBuff(""Defect_buffsample_electric_orb"", ""1"");",,Icon/Card/混乱,,
barrage,1,1,,"self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");",,"local function lv(id) local b = self.Self:GetBuff(id); if b == nil then return 0 end return b.buffConfig.Level end; local count = lv(""Defect_buffsample_electric_orb"") + lv(""Defect_buffsample_ice_orb"") + lv(""Defect_buffsample_plasma_orb""); self:SetStatus(""Target""); for i = 1, count do self:Damage(""4""); end",,Icon/Card/混乱,,
beam_cell,1,0,,"self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");",,"self:SetStatus(""Target""); self:Damage(""3""); self:AddBuff(""buff_vulnerability"", ""1"");",,Icon/Card/混乱,,
biased_cognition,3,1,,"self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");",,"self:SetStatus(""Self""); self:AddBuff(""Defect_buffsample_focus"", ""4""); self:AddBuff(""Defect_buffsample_biased_decay"", ""1"");",,Icon/Card/混乱,,
