Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一的标识（不能重复）,稀有度,花费,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效,动作
1,1,1,Combo,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Damage"",""6"");",,"SetStatus(""Target"");
        Damage(""6"");
        if (ComboCheck())
        {
            Damage((Self.GetBuff(DataId.buff_revelation).buffConfig.Level+5).ToString());
        }",,Icon/Card/圣裁,,
2,2,2,Combo,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Damage"",""9"");",,"SetStatus(""AllTarget"");
        Damage(""9"");
       if (ComboCheck())
        {
            Damage(((Self.GetBuff(DataId.buff_revelation).buffConfig.Level+1)*3).ToString());
        }",,Icon/Card/群星落,,
3,3,3,Combo,"Vars[""BaseScript""]=""CommonCardItem"";",,"if (Self.GetBuff(DataId.buff_revelation) != null)
        {
            int level = Self.GetBuff(DataId.buff_revelation).buffConfig.Level;
            SetStatus(""AllTarget"");
            Damage((level * level).ToString());
            SetStatus(""Self"");
            ChangeDefence((level * level).ToString());
            RemoveBuff(DataId.buff_revelation);
        }",,Icon/Card/宣告,元素爆发,
4,2,1,Combo,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Buff"",""2"");",,"
        if (ComboCheck())
        {
            AddBuff(DataId.buff_revelation, (Self.GetBuff(DataId.buff_revelation).buffConfig.Level/2+2).ToString());
        }",,Icon/Card/星界启示,,
5,3,0,Combo,"Vars[""BaseScript""]=""CommonCardItem"";
AddDescription(""1"",""Power"",""2"");",,"
        if (ComboCheck())
        {
            if (Self.GetBuff(DataId.buff_revelation) != null && Self.GetBuff(DataId.buff_revelation).buffConfig.Level > 3)
            {
                ChangePower(""2"");
            }
        }",,Icon/Card/重塑祷告,,
6,2,1,Combo,"Vars[""BaseScript""]=""AttackCardItem"";
        AddDescription(""1"",""Special"",""2"");
        AddDescription(""2"",""Special"",""1"");
        AddDescription(""3"",""Special"",""1"");",,"
        if (ComboCheck())
        {SetStatus(""Target"");
            if (Self.GetBuff(DataId.buff_revelation) == null)
            {
                return;
            }
            Damage((2 * Self.GetBuff(DataId.buff_revelation).buffConfig.Level).ToString());
            if (Self.GetBuff(DataId.buff_revelation).buffConfig.Level>=2)
            {
                SetStatus(""Self"");
                ChangePower(""1"");
            }
        }",,Icon/Card/伪·使徒之枪,,
7,3,1,Combo,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Draw"",""3"");",,"
        if (ComboCheck())
        {
            DrawCount(""3"");
        }
     ",,Icon/Card/星界降灵,,
8,1,1,Combo,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Defence"",""6"");
        AddDescription(""2"",""Defence"",""6"");",,"ChangeDefence(""6"");
        if (ComboCheck())
        {
            ChangeDefence(""6"");
        }",,Icon/Card/圣灵屏障,,
9,2,1,Combo,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Power"",""1"");",,"SetStatus(""Target"");AddBuff(DataId.buff_weakness,""1"");
        if (ComboCheck())
        {
SetStatus(""Self"");
            ChangePower(""1"");
        }",,Icon/Card/银弹装填,,
10,3,3,"Combo, Burnout","Vars[""BaseScript""]=""CommonCardItem"";",,"var cards = HandCard
.Where(card => card != null && card.Tags.Contains(""Combo""))
.ToList();
        foreach (var item in cards)
        {
            if (item.data[""Id""]==dataConfig.data[""Id""])
            {
                continue;
            }
            item.scriptExecutor.RunScript(""UseScript"");
        }
        if (ComboCheck())
        {
            AddBuff(DataId.buff_extraordinary, (cards.Count() * 5).ToString());
        }",,Icon/Card/克莉斯娜唤神术,,
11,3,1,"Combo, Burnout","Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Buff"",""6"");",,"
            var cards = HandCard
.Where(card => card != null && !card.Tags.Contains(""Froze"") && !card.Tags.Contains(""Combo""))
.ToList();
            int i = 1;
            foreach (var item in cards)
            {
                item.Burning(0.2f * i);
                i++;
            }
                if (Self.GetBuff(DataId.buff_revelation)==null || Self.GetBuff(DataId.buff_revelation).buffConfig.Level<8)
                {
                    AddBuff(DataId.buff_bleeding,""4"");
                }
            
      ",,Icon/Card/纯化祷言,,
12,3,1,"Combo, Burnout","Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Buff"",""5"");",,"AddBuff(DataId.buff_burn,""5"");
        if (ComboCheck())
        {
            AddBuff(DataId.buff_GuleiSummoningArt,""1"");
        }",,Icon/Card/古蕾降神术,,
13,2,0,"Combo, Burnout","Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Hp"",""2"");",,"SetStatus(""Self"");
        AddBuff(DataId.buff_RegenerationPrayer,""1"");
        if (ComboCheck())
        {
            if (Self==null||Self.GetBuff(DataId.buff_revelation) == null)
            {
                return;
            }
            ChangeHp((Self.MaxHp * Self.GetBuff(DataId.buff_revelation).buffConfig.Level / 100).ToString());
        }",,Icon/Card/再生祷言,,
14,2,0,Combo,"if (PlayerInfo.SpecialVars!=null && !PlayerInfo.SpecialVars.ContainsKey(""combo_14""))
        {
            PlayerInfo.SpecialVars[""combo_14""] = ""0"";
        }
        Vars[""BaseScript""] = ""AttackCardItem"";
        AddDescription(""1"", ""Damage"", ""4"");
        AddDescription(""2"", ""Damage"", (int.Parse(PlayerInfo.SpecialVars !=null ? PlayerInfo.SpecialVars.GetValueOrDefault(""combo_14"", ""0""):""0"") / 2 + 4).ToString());",,"SetStatus(""Target"");
        Damage(""4"");
        if (!PlayerInfo.SpecialVars.ContainsKey(""combo_14""))
        {
            PlayerInfo.SpecialVars[""combo_14""] = ""0"";
        }
        PlayerInfo.SpecialVars[""combo_14""]=(int.Parse(PlayerInfo.SpecialVars[""combo_14""]) + 1).ToString();
        if (ComboCheck())
        {
            Damage((int.Parse(PlayerInfo.SpecialVars[""combo_14""])/2+4).ToString());
        }",,Icon/Card/银弹连发,,
15,3,0,"Combo, Burnout","Vars[""BaseScript""]=""AttackCardItem"";",,"SetStatus(""Target"");
        if (Self.GetBuff(DataId.buff_revelation) == null)
        {
            return;
        }
if (ComboCheck())
        {
            var TempObject = Object.ToList();
            foreach (var item in TempObject)
            {
                if (item.CurHp < (item.MaxHp * (Self.GetBuff(DataId.buff_revelation).buffConfig.Level + 10) / 100))
                {
                    SetStatusById(item.InstanceId);
                    Damage(item.MaxHp.ToString(), ""True"");
                }
            }
        }",,Icon/Card/菲奥涅裁决术,,
