Id,BaseScript,EndScript,Roles,EventName,ChoiceCount,ChoiceScript1,ChoiceScript2
对话Id,初始脚本,对话结束时执行,"出现的角色Id，说话者用<>包括，用,分割",何时执行对话（事件名）,选项数量,选项脚本,
1,,,role_narrator,StartTutorial,0,,
2,,,role_narrator,,0,,
3,,,role_narrator,,0,,
4,,,role_narrator,StartTutorial_4,1,"PlayerInfo.EventTrigger(""StartTutorial_5"");",
5,,,role_narrator,StartTutorial_5,0,,
6,,,role_narrator,,0,,
7,,,role_Krisna,,0,,
8,,,role_amelia,,0,,
9,,,role_Krisna,StartTutorial_9,2,"PlayerInfo.EventTrigger(""StartTutorial_10"");","PlayerInfo.EventTrigger(""StartTutorial_10"");"
10,,,role_Krisna,StartTutorial_10,0,,
11,,,role_amelia,,0,,
12,,,role_Krisna,,0,,
13,,,role_amelia,,0,,
14,,,role_Krisna,,0,,
15,,,role_amelia,,0,,
16,,,role_Krisna,,0,,
17,,,role_narrator,,0,,
18,,,role_Krisna,,0,,
19,,,role_Krisna,,0,,
20,,,role_amelia,,0,,
21,,,role_narrator,,0,,
22,,,role_Krisna,,0,,
23,,,role_Krisna,,0,,
24,,,role_narrator,,0,,
25,,,role_amelia,,0,,
26,,,role_Krisna,,0,,
27,,,role_narrator,,0,,
28,,,role_narrator,,0,,
29,,,role_narrator,StartTutorial_29,2,"PlayerInfo.EventTrigger(""StartTutorial_281"");","PlayerInfo.EventTrigger(""StartTutorial_284"");"
281,,,role_narrator,StartTutorial_281,2,"PlayerInfo.EventTrigger(""StartTutorial_291"");","PlayerInfo.EventTrigger(""StartTutorial_282"");"
282,,,role_narrator,StartTutorial_282,2,"PlayerInfo.EventTrigger(""StartTutorial_31"");","PlayerInfo.EventTrigger(""StartTutorial_283"");"
283,,,role_narrator,StartTutorial_283,2,"PlayerInfo.EventTrigger(""StartTutorial_35"");","PlayerInfo.EventTrigger(""StartTutorial_39"");"
284,,,role_narrator,StartTutorial_284,2,"PlayerInfo.EventTrigger(""StartTutorial_49"");","PlayerInfo.EventTrigger(""StartTutorial_43"");"
291,,"PlayerInfo.EventTrigger(""StartTutorial_30"");",role_Krisna,StartTutorial_291,0,,
30,,"PlayerInfo.EventTrigger(""StartTutorial_29"");",role_Krisna,StartTutorial_30,0,,
31,,"PlayerInfo.EventTrigger(""StartTutorial_32"");",role_Krisna,StartTutorial_31,0,,
32,,"PlayerInfo.EventTrigger(""StartTutorial_33"");",role_Krisna,StartTutorial_32,0,,
33,,,role_amelia,StartTutorial_33,0,,
34,,"PlayerInfo.EventTrigger(""StartTutorial_29"");",role_Krisna,StartTutorial_34,0,,
35,,"PlayerInfo.EventTrigger(""StartTutorial_36"");",role_Krisna,StartTutorial_35,0,,
36,,"PlayerInfo.EventTrigger(""StartTutorial_37"");",role_amelia,StartTutorial_36,0,,
37,,,role_Krisna,StartTutorial_37,0,,
38,,"PlayerInfo.EventTrigger(""StartTutorial_29"");",role_amelia,StartTutorial_38,0,,
39,,"PlayerInfo.EventTrigger(""StartTutorial_40"");",role_Krisna,StartTutorial_39,0,,
40,,"PlayerInfo.EventTrigger(""StartTutorial_41"");",role_narrator,StartTutorial_40,0,,
41,,,role_Krisna,StartTutorial_41,0,,
42,,"PlayerInfo.EventTrigger(""StartTutorial_29"");",role_amelia,StartTutorial_42,0,,
43,,"PlayerInfo.EventTrigger(""StartTutorial_44"");",role_amelia,StartTutorial_43,0,,
44,,"PlayerInfo.EventTrigger(""StartTutorial_45"");",role_amelia,StartTutorial_44,0,,
45,,"PlayerInfo.EventTrigger(""StartTutorial_46"");",role_amelia,StartTutorial_45,0,,
46,,"PlayerInfo.EventTrigger(""StartTutorial_47"");",role_Krisna,StartTutorial_46,0,,
47,,"PlayerInfo.EventTrigger(""StartTutorial_48"");",role_Krisna,StartTutorial_47,0,,
48,,PlayerInfo.QuitAndDeleteSave();,role_Krisna,StartTutorial_48,0,,
49,,,role_Krisna,StartTutorial_49,0,,
50,,,role_Krisna,,0,,
51,,,role_narrator,,0,,
52,,,role_Krisna,,0,,
53,,,role_amelia,,0,,
54,,,role_narrator,,0,,
55,,,role_Krisna,,0,,
56,,,role_narrator,,0,,
