Id,Tag,LoadScript,DrawScript,DropScript,UseScript,UnloadScript,Rarity,Icon
Id（唯一标识）,添加的标签,初始效果,抽到时的效果,进入弃牌堆的效果,使用时的效果,卸下效果,稀有度,
1,Burnout,,,,"SetStatus(""Self"");
        ChangePower(""1"");",,2,Icon/EnchIcon/末日
2,Fragmented,,,,,,3,Icon/EnchIcon/绝灭
3,Burnout,,,,,,2,Icon/EnchIcon/双生
4,"Recycle, Exhaustion",,,,,,3,Icon/EnchIcon/无限
5,Retain,,,,,,3,Icon/EnchIcon/相片
6,Combo,,,,"if (ComboCheck())
        {
            if (Self.GetBuff(DataId.buff_revelation)!=null)
            {
                SetStatus(""Self"");
                ChangeDefence(Self.GetBuff(DataId.buff_revelation).buffConfig.Level.ToString());
            }
        }",,1,Icon/EnchIcon/虔诚
*7,Instant,,,,,,2,Icon/EnchIcon/时痕
8,,,,,"SetStatus(""Self"");
        AddBuff(DataId.buff_poised,""1"");",,2,Icon/EnchIcon/复仇
9,Exhaustion,,,,"
            SetStatus(""Self"");
            DrawCount(""1"");
    ",,3,Icon/EnchIcon/超频
10,,,,,"SetStatus(""Self"");
        ChangeMoney(""2"");",,3,Icon/EnchIcon/铸金
11,,,,,"var cardData=EnchGetCard();
        if (cardData!=null)
        {
            SetStatus(""Self"");
            ChangeHp((int.Parse(cardData.data[""Expend""])*4*Self.dynamicVariables.GetValueOrDefault(""CardCost"", 1)).ToString());
        }",,3,Icon/EnchIcon/治愈
12,,,,,"var cardData=EnchGetCard();
        if (cardData!=null)
        {
            SetStatus(""Self"");
            ChangeDefence((int.Parse(cardData.data[""Expend""])*6*Self.dynamicVariables.GetValueOrDefault(""CardCost"", 1)).ToString());
        }",,2,Icon/EnchIcon/固化
13,,,,,"var cardData=EnchGetCard();
        if (cardData!=null)
        {
            SetStatus(""AllRandomTarget1"");
            Damage((int.Parse(cardData.data[""Expend""])*7*Self.dynamicVariables.GetValueOrDefault(""CardCost"", 1)).ToString());
        }",,2,Icon/EnchIcon/刀刃
14,,,,,"var cardData=EnchGetCard();
        if (cardData!=null)
        {
            SetStatus(""Self"");
            AddBuff(DataId.buff_EnergyStorage,(int.Parse(cardData.data[""Expend""])*Self.dynamicVariables.GetValueOrDefault(""CardCost"", 1)).ToString());
        }",,2,Icon/EnchIcon/储能
15,Ouroboros,,,,,,2,Icon/EnchIcon/衔尾
