Id,Name,Hp,Attack,Defend,Tough,ActionCount,Rarity,InitScript,CardList,AttributeText,Animation
Id,名字,血量,攻击力,防御盾,韧性,行动次数,单体强度,初始buff,卡牌列表,"用;分开,不能加空格(现在只是给个演示,因为怪物要重写特性)",
10001,普拉提黏黏,48,6,3,1,2,1,,"enemycard_WeakLight, enemycard_NeverDead, enemycard_Charge1, enemycard_defence, enemycard_Observe, enemycard_vulnerabilityLight",,AnimationLib/普拉提黏黏
10002,红心女仆,144,11,5,1,2,2,,"enemycard_vulnerabilityLight, enemycard_PlugCards2, enemycard_Witness, enemycard_Charge1, enemycard_defence, enemycard_OrdinaryHit",,AnimationLib/红心女仆
10003,鼹鼠,90,8,5,1,2,2,"AddBuff(""SpecialBuff_ThievesKing"", ""1"");","enemycard_Thieves, enemycard_thief, enemycard_defence, enemycard_OrdinaryFiveHit, enemycard_obtainMoney",SpecialBuff_ThievesKing,AnimationLib/鼹鼠
10004,灾厄先兆,84,10,3,2,2,1,,"enemycard_OrdinaryHit, enemycard_defence, enemycard_NeverDead",,AnimationLib/灾厄先兆
10005,猎食者,30,5,0,2,2,1,"if (int.Parse(PlayerInfo.GetTagDiff()) > 20)
        {
            AddBuff(""buff_bloodwall"", ""5"");
        }
        else
        {
            AddBuff(""buff_bloodwall"", ""4"");
        }","enemycard_OrdinaryHit, enemycard_defence",buff_bloodwall,AnimationLib/无形象敌人
10007,失心魔女,166,8,7,1,3,3,"AddBuff(""SpecialBuff_ManInTheMirror"", ""1"");","enemycard_defence, enemycard_QuadrupleHits, enemycard_WhereverYouGo, enemycard_OrdinaryHit, enemycard_MakeIneffectiveRays1, enemycard_PlugCards1",SpecialBuff_ManInTheMirror,AnimationLib/失心魔女
10008,最后一餐,78,8,6,2,2,1,,"enemycard_defence, enemycard_QuadrupleHits, enemycard_Licking, enemycard_OrdinaryHit",,AnimationLib/最后一餐
10009,梅花侍从,140,11,8,3,3,2,"AddBuff(""SpecialBuff_believer"", ""6"");AddBuff(""buff_thorns"",  (int.Parse(atk())/7).ToString());","enemycard_OrdinaryHit,enemycard_defence, enemycard_burn2, enemycard_specialAttack, enemycard_burn1",SpecialBuff_believer;buff_thorns,AnimationLib/梅花侍从
10010,深渊之触,82,9,5,2,2,2,"AddBuff(""SpecialBuff_fluster"",""1"");","enemycard_OrdinaryHit,enemycard_defence,enemycard_OverrunWorkouts,enemycard_OrdinaryFiveHit, enemycard_Charge1",SpecialBuff_fluster,AnimationLib/深渊之触
