Id,Icon,Hp,HPPercent,Rarity
,图片路径,恢复血量,提高血量百分比,占比
1,Assets/GameResources/Icon/Food/饮料1,1,0,1
2,Assets/GameResources/Icon/Food/饮料2,2,0,1
3,Assets/GameResources/Icon/Food/饮料3,3,0,1
4,Assets/GameResources/Icon/Food/饮料4,1,0,1
5,Assets/GameResources/Icon/Food/饮料5,2,0,1
6,Assets/GameResources/Icon/Food/饮料6,3,0,1
7,Assets/GameResources/Icon/Food/红酒,1,0,1
8,Assets/GameResources/Icon/Food/食物1,5,5,3
9,Assets/GameResources/Icon/Food/蛋糕,4,4,3
10,Assets/GameResources/Icon/Food/鸡腿,5,2,2
11,Assets/GameResources/Icon/Food/汉堡,6,4,3
12,Assets/GameResources/Icon/Food/披萨,6,6,3
13,Assets/GameResources/Icon/Food/大汉堡,10,10,5
14,Assets/GameResources/Icon/Food/大水果篮,2,2,2
15,Assets/GameResources/Icon/Food/冰激凌,3,2,2
16,Assets/GameResources/Icon/Food/全鸡,3,4,2
