Id,Dimensions,Type,Icon,Rarity
（id）唯一标识,成分,类型,图标路径,稀有度
1,"1,1,0,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
2,"0,2,1,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
3,"0,0,3,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
4,"2,0,0,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
5,"1,2,0,0,0,1",AlchemicalMaterials,Icon/buff/治愈光环,2
6,"1,0,0,2,1,0",AlchemicalMaterials,Icon/buff/治愈光环,3
7,"3,0,0,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
8,"0,3,0,2,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
9,"1,0,0,1,0,2",AlchemicalMaterials,Icon/buff/治愈光环,3
10,"0,1,3,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
11,"1,1,1,1,2,0",AlchemicalMaterials,Icon/buff/治愈光环,3
12,"2,1,1,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
13,"0,2,2,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
14,"0,1,1,3,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
15,"0,3,0,1,0,1",AlchemicalMaterials,Icon/buff/治愈光环,3
16,"1,0,3,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
17,"2,0,0,2,0,2",AlchemicalMaterials,Icon/buff/治愈光环,3
18,"0,1,0,2,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
19,"3,0,0,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
20,"0,0,3,2,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
21,"1,2,0,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
22,"0,0,2,3,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
23,"2,0,0,1,0,1",AlchemicalMaterials,Icon/buff/治愈光环,3
24,"0,1,2,0,1,0",AlchemicalMaterials,Icon/buff/治愈光环,2
25,"1,1,1,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,2
26,"0,0,3,3,0,0",AlchemicalMaterials,Icon/buff/治愈光环,3
*27,"1,0,0,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,1
*28,"0,1,0,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,1
*29,"0,0,1,0,0,0",AlchemicalMaterials,Icon/buff/治愈光环,1
*30,"0,0,0,1,0,0",AlchemicalMaterials,Icon/buff/治愈光环,1
