Id,EnemyIds,Note,Level,BGM
Id,敌人Id的数组,备注,出现层数,重载音乐
10001,"enemy_10004, enemy_10008",精英,0,
10002,enemy_10002,精英,1,
10003,enemy_10003,精英,0,
10004,enemy_10010,精英,0,
10005,enemy_10025,普通,0,
10006,enemy_10014,精英,0,
10007,enemy_10005,普通,0,
10008,enemy_10004,普通,0,
10009,"enemy_10025, enemy_10026",精英,0,
10010,"enemy_10015, enemy_10005, enemy_10021",boss,0,
10011,"enemy_10022, enemy_10023",boss,0,
10013,enemy_10017,普通,1,
10014,enemy_10018,精英,1,
10015,enemy_10021,普通,0,
10016,enemy_10019,普通,1,
10017,"enemy_10019, enemy_10028",精英,1,
10018,enemy_10028,普通,1,
10019,enemy_10016,普通,2,
10020,"enemy_10029, enemy_10046, enemy_10047",boss,1,
10021,enemy_10009,精英,1,
10022,enemy_10007,boss,1,
*99999,enemy_99999,测试,-4,
10024,enemy_10024,精英,2,
10025,enemy_10020,boss,1,
*0,enemy_10027,无名,2,
10026,enemy_10030,精英,2,
10027,enemy_10031,精英,2,
10028,enemy_10032,精英,2,Sounds\BGM\背景音乐\战斗杂项\魅魔
10029,enemy_10033,boss,0,
10030,enemy_10034,精英,1,
10031,enemy_10035,精英,1,
10032,"enemy_10036, enemy_10037",精英,1,
10033,enemy_10038,普通,2,
10034,enemy_10039,普通,1,
10035,enemy_10040,普通,-1,
10036,enemy_10041,普通,-1,
10037,enemy_10042,普通,-1,
10038,enemy_10043,普通,-1,
10039,"enemy_10042, enemy_10043",精英,-1,
10040,"enemy_10040, enemy_10041",精英,-1,
10041,"enemy_10045, enemy_10044",精英,0,
10042,enemy_10008,普通,0,
10043,enemy_10026,普通,0,
10044,enemy_10001,普通,0,
10045,enemy_10023,普通,0,
10046,"enemy_10049, enemy_10048, enemy_10050",无名,0,
10047,enemy_*10053,无名,0,
