Id,Type,NodeId,Level
地图id,种类,对应种类的节点Id,对应出现层数
1,Build,shop,-1
2,Event,,-1
3,Fight,level_10001,0
4,Fight,level_10002,1
5,Fight,level_10003,0
6,Fight,level_10004,0
7,Fight,level_10005,0
8,Fight,level_10006,0
*9,Fight,level_10007,0
10,Fight,level_10008,0
11,Fight,level_10009,0
12,Fight,level_10010,0
13,Fight,level_10011,0
15,Fight,level_10013,1
16,Fight,level_10014,1
17,Fight,level_10015,0
18,Fight,level_10016,1
19,Fight,level_10017,1
20,Fight,level_10018,1
21,Fight,level_10019,2
22,Fight,level_10020,1
23,Fight,level_10021,1
24,Fight,level_10022,1
25,Build,tree,-1
26,Fight,level_10024,2
27,Fight,level_10025,1
28,Build,Breaks,-1
*0,Fight,level_*0,2
29,Fight,level_10026,2
30,Fight,level_10027,2
31,Fight,level_10028,2
32,Fight,level_10029,0
33,Fight,level_10030,1
34,Fight,level_10031,1
35,Fight,level_10032,1
36,Fight,level_10033,2
37,Fight,level_10034,1
38,Fight,level_10035,-1
39,Fight,level_10036,-1
40,Fight,level_10037,-1
41,Fight,level_10038,-1
42,Fight,level_10039,-1
43,Fight,level_10040,-1
44,Fight,level_10041,1
45,Fight,level_10042,0
46,Fight,level_10043,0
47,Fight,level_*99999,-2
48,Build,ench,-1
*49,Fight,level_10044,0
*50,Fight,level_10045,0
*999,Fight,level_10046,2
*1000,Fight,level_10047,1
