Id,InitScript,TargetScript,UseScript,Icon,Tag,Effects,Action
Id,卡牌初始化脚本（使用前执行）,出现时执行（选定目标）,卡牌使用后执行,行动图标,唯一特性,特效,动作
attack,"Vars[""atk""]=atk();Vars[""CD""]=""0"";Vars[""DesVal1""]=Vars[""atk""];Vars[""priority""]=""1"";","SetStatus(""Target"");",Damage(atk());,Icon/Enemy/EnemyAction/攻击,,,Attack
defence,"Vars[""CD""]=""0"";Vars[""DesVal1""]=def();Vars[""priority""]=""1"";","SetStatus(""Self"");",ChangeDefence(def());,Icon/Enemy/EnemyAction/防御,,,
QuadrupleHits,"Vars[""DesVal1""]=(int.Parse(atk())*2/3).ToString()+""*2"";Vars[""priority""]=""2"";Vars[""CD""]=""2"";","SetStatus(""Target"");",for (int i=0;i<2;i++) Damage((int.Parse(atk())*2/3).ToString());,Icon/Enemy/EnemyAction/多段攻击,,,Attack
Hah,"Vars[""CD""]=""2"";Vars[""priority""]=""2"";","SetStatus(""AllTarget"");","AddBuff(""buff_vulnerability"",""3"");",Icon/Enemy/EnemyAction/给予异常,,,
AswiftBlow,"Vars[""CD""]=""0"";Vars[""priority""]=""2"";Vars[""DesVal1""]=atk();","SetStatus(""AllTarget"");","
        Damage(atk());
        foreach (var status in Object)
        {
                if (Self.GetBuff(""buff_vulnerability"")!=null)
                {
                    Damage(atk());
                }
        }",Icon/Enemy/EnemyAction/多段攻击,,,
Combing,"Vars[""CD""]=""0"";Vars[""priority""]=""2"";Vars[""DesVal1""]=def();"," SetStatus(""Self"");","
        ChangeDefence(def());
        PlayerInfo.TempLucky += 3;",Icon/Enemy/EnemyAction/防御,,,
FuneralBell,"Vars[""CD""]=""1"";Vars[""priority""]=""2"";","SetStatus(""Target"");","AddBuff(""buff_vulnerability"",""3"");",Icon/Enemy/EnemyAction/给予异常,,,
DeepGrows,"Vars[""CD""]=""1"";Vars[""priority""]=""3"";Vars[""DesVal1""]=atk();","SetStatus(""Target"");","Damage(atk(),""True"");AddBuff(""buff_bleeding"",""4"");",Icon/Enemy/EnemyAction/攻击,,,
