Id,Rarity,OwnScript,FightScript,Icon
id,稀有度,获取时的脚本,战斗脚本,图片名称
1,3,,"AddEvent(""Action"",(() => {SetStatus(""Self"");ChangeDefence(""3"");}));",Icon/Relic/风之灵
2,4,,"AddEvent(""Action"",() => {if(CheckDice.Roll().Value<20){ChangePower(""1"");}});",Icon/Relic/法师资格证书
3,1,,"AddEvent(""Shuffle"",(() => {SetStatus(""AllRandomTarget1"");ChangeHp(""-20"");}));",Icon/Relic/影劫草
4,2,,"AddEvent(""FightStart"",(() => {SetStatus(""AllRandomTarget1"");AddBuff(DataId.buff_vulnerability,""4"");}));",Icon/Relic/白盐
5,1,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");ChangeHp(""15"");Vars[""ThisCount""]=""0"";});AddEvent(""StartRound"",() => {
            Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();UpdateRelicShow();
            if (int.Parse(Vars[""ThisCount""])==5)
            {
                SetStatus(""Self"");
                ChangeHp(""-999"");
            }});",Icon/Relic/死契  帕雷凡
6,3,,"AddEvent(""Action"",(() => {SetStatus(""AllRandomTarget1"");AddBuff(DataId.buff_burn,""1"");}));",Icon/Relic/红石
7,3,,"AddEvent(""FightStart"",() => {
           SetStatus(""AllTarget"");
           AddBuff(DataId.buff_degrade,""4""); });",Icon/Relic/普拉提原体
8,3,,,Icon/Relic/怨恨
9,4,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_frenzy,""1"");ChangeMaxPower(""1"");});",Icon/Relic/血髓鸣泣
10,1,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_elements,""2"");}));",Icon/Relic/碎裂源晶
11,2,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(DataId.buff_oniblood,""1"");AddBuff(DataId.buff_keenedge,""2"");}));",Icon/Relic/鬼骨面具
*12,3,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_oniblood,""1"");AddBuff(DataId.buff_fast,""3"");ChangeHp((Self.CurHp/6*-1).ToString());});",Icon/Relic/毒苹果
13,1,,"AddEvent(""StartRound"",() => {SetStatus(""Self"");if(Self.CurHp<50){AddBuff(DataId.buff_oniblood,""1"");}});",Icon/Relic/血鬼保险条例
14,3,,"AddEvent(""Action"",(() => {SetStatus(""AllRandomTarget3"");Damage(""1"");}));",Icon/Relic/穿刺群落
15,1,,"AddEvent(""FightStart"", () => {
        Vars[""ThisCount""] = ""0"";
            if (Self.CurHp <= Self.MaxHp * 2 / 5 && Vars[""ThisCount""] == ""0"")
            {
                Vars[""ThisCount""] = ""1"";
                PlayerInfo.Money += 40;
                AddBuff(DataId.buff_oniblood, ""1"");
            }
        });
        AddEvent(""Hurt"",() => {if (Self.CurHp <= Self.MaxHp * 2 / 5 && Vars[""ThisCount""] == ""0"")
            {
                Vars[""ThisCount""] = ""1"";
                PlayerInfo.Money += 40;
                AddBuff(DataId.buff_oniblood, ""1"");
            }});AddEvent(""Action"",() => {if (Self.CurHp <= Self.MaxHp * 2 / 5 && Vars[""ThisCount""] == ""0"")
            {
                Vars[""ThisCount""] = ""1"";
                PlayerInfo.Money += 40;
                AddBuff(DataId.buff_oniblood, ""1"");
            }});",Icon/Relic/恶念
16,1,,"AddEvent(""Action"",() => {
  if (CheckDice.Roll().Value<50)
  {
  SetStatus(""AllRandomTarget1"");ChangeHp(""-8"");
  }
  });",Icon/Relic/雷鸣之羽
