Id	Type	Note	Name	Name_zh-Hant	Name_en	Name_ja	Description	Description_zh-Hant	Description_en	Description_ja
唯一的标识（不能重复）	类型	备注	名称	Name_zh-Hant	Name_en	Name_ja	描述	Description_zh-Hant	Description_en	Description_ja
1	技能牌		绝命	绝命	绝命	绝命	获得{0}层蓄势,自身每损失25点生命，额外获得1层	获得{0}层蓄势,自身每损失25点生命，额外获得1层	获得{0}层蓄势,自身每损失25点生命，额外获得1层	获得{0}层蓄势,自身每损失25点生命，额外获得1层
2	消耗技能牌		破釜之战	破釜之战	破釜之战	破釜之战	获得{0}层蓄势。	获得{0}层蓄势。	获得{0}层蓄势。	获得{0}层蓄势。
3	技能牌	通用	反击姿态	反擊姿態	Counter Stance	反撃の構え	获得{0}层强韧,{1}层蓄势,{2}层坚毅。	獲得{0}層{buff_resilient},{1}層{buff_counterattack},{2}層{buff_impregnable}。	Gain {0} layers of {buff_resilient}, {1} layer of {buff_counterattack}, and {2} layers of {buff_impregnable}.	{buff_resilient}を{0}スタック、{buff_counterattack}を{1}スタック、{buff_impregnable}を{2}スタック獲得する。
4	技能牌		瞬念	瞬念	瞬念	瞬念	获得{0}层蓄势。	获得{0}层蓄势。	获得{0}层蓄势。	获得{0}层蓄势。
5	技能牌	通用	百炼成钢	百鍊成鋼	Tempered into steel	百錬成鋼	获得{0}护盾，获得{1}蓄势。飞升：1点护盾获取量，1/6层蓄势获取量	獲得{0}護盾，獲得{1}層{buff_counterattack}。每次使用：護盾獲取量+1，{buff_counterattack}獲取量+1/6層	Gain {0} shield and {1} counter. Each use provides 1 point of shield gain and 1/6 layers of counter gain.	{0}のシールドを獲得し、{1}の{buff_counterattack}を獲得する。使用するたびにシールド獲得量が1増加し、{buff_counterattack}獲得量が1/6層増加する
6	技能牌		集中	集中	集中	集中	获得{0}点护盾，【裂变】:额外抽{1}张牌	获得{0}点护盾，【裂变】:额外抽{1}张牌	获得{0}点护盾，【裂变】:额外抽{1}张牌	获得{0}点护盾，【裂变】:额外抽{1}张牌
7	技能牌		堡垒战术	堡垒战术	堡垒战术	堡垒战术	获得反击层数点生命恢复	获得反击层数点生命恢复	获得反击层数点生命恢复	获得反击层数点生命恢复
8	技能牌		吐纳	吐纳	吐纳	吐纳	恢复{0}点生命，恢复{1}点魔能，本回合每触发3次【蓄势】，额外生效一次	恢复{0}点生命，恢复{1}点魔能，本回合每触发3次【蓄势】，额外生效一次	恢复{0}点生命，恢复{1}点魔能，本回合每触发3次【蓄势】，额外生效一次	恢复{0}点生命，恢复{1}点魔能，本回合每触发3次【蓄势】，额外生效一次
9	技能牌		一瞬千刃	一瞬千刃	一瞬千刃	一瞬千刃	造成反击层数点伤害，每拥有10点护盾或者2层【蓄势】，重复触发一次伤害，最多触发5次	造成反击层数点伤害，每拥有10点护盾或者2层【蓄势】，重复触发一次伤害，最多触发5次	造成反击层数点伤害，每拥有10点护盾或者2层【蓄势】，重复触发一次伤害，最多触发5次	造成反击层数点伤害，每拥有10点护盾或者2层【蓄势】，重复触发一次伤害，最多触发5次
10	技能牌		剑意	剑意	剑意	剑意	获得{0}层剑意	获得{0}层剑意	获得{0}层剑意	获得{0}层剑意
11	技能牌		血赐甲胄	血赐甲胄	血赐甲胄	血赐甲胄	获得{0}层生物装甲	获得{0}层生物装甲	获得{0}层生物装甲	获得{0}层生物装甲
12	技能牌		觉醒	觉醒	觉醒	觉醒	获得{0}层【超凡】{1}点护盾,重复本回合【蓄势】触发次数次(最多5次)	获得{0}层【超凡】{1}点护盾,重复本回合【蓄势】触发次数次(最多5次)	获得{0}层【超凡】{1}点护盾,重复本回合【蓄势】触发次数次(最多5次)	获得{0}层【超凡】{1}点护盾,重复本回合【蓄势】触发次数次(最多5次)
13	技能牌		迸裂	迸裂	迸裂	迸裂	造成护盾*反击层数/5的伤害，现在为{0}	造成护盾*反击层数/5的伤害，现在为{0}	造成护盾*反击层数/5的伤害，现在为{0}	造成护盾*反击层数/5的伤害，现在为{0}
