Id,Type,是否完成,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,
唯一的标识（不能重复）,卡牌类型,FALSE,费用,名称,,Name,,描述,,Description,,
1,消耗技能牌,TRUE,0,海洋之梦,海洋之夢,Ocean's Dream,海洋の夢,获得{0}层元素。抽{1}张牌。,獲得{0}層{buff_elements}。抽{1}張牌。,Gain {0} layer(s) of {buff_elements}. Draw {1} cards.,{buff_elements}を{0}スタック獲得する。カードを{1}枚引く。,
2,消耗技能牌,TRUE,0,生长,“生長”,Growth,「成長」,"获得{0}层元素,{1}层自愈。","得到{0}層{buff_elements},{1}層{buff_evergreen}。",Gain {0} layer(s) of {buff_elements} and {1} layer(s) of {buff_evergreen}.,{buff_elements}を{0}スタック、{buff_evergreen}を{1}スタック獲得する。,
3,技能牌,TRUE,1,森之结晶,森之結晶,Forest Crystal,森の結晶,"获得{0}层元素,{1}层吸收。","得到{0}層{buff_elements},{1}層{buff_vitality}。",Gain {0} layer(s) of {buff_elements} and {1} layer(s) of {buff_vitality}.,{buff_elements}を{0}スタック、{buff_vitality}を{1}スタック獲得する。,
4,攻击牌,TRUE,2,聚雷术,聚雷術,Lightning Convergence,集雷術,"获得{0}层元素,对所有敌人造成{1}点伤害。","得到{0}層{buff_elements},對所有敵人造成{1}點傷害。","Gain {0} layer(s) of {buff_elements}, deal {1} damage to all enemies.",{buff_elements}を{0}スタック獲得し、{1}ダメージを与える。,
5,技能牌,TRUE,1,雷枪,雷槍,Lightning Spear,雷槍,"获得{0}层元素,造成{1}点伤害,给予选择目标{2}层易伤。","得到{0}層{buff_elements},造成{1}點傷害,給予選擇目標{2}層{buff_vulnerability}。","Gain {0} layer(s) of {buff_elements}, deal {1} damage, apply {2} layer(s) of {buff_vulnerability} to target.",{buff_elements}を{0}スタック、{1}ダメージ、選択対象に{buff_vulnerability}を{2}スタック付与する。,
6,消耗技能牌,TRUE,2,雷绝,雷絕,Lightning Extinction,雷絶,"获得{0}层元素和{1}层超凡,获得{2}点防御。","得到{0}層{buff_elements}和{1}層{buff_extraordinary},獲得{2}點護盾。","Gain {0} layer(s) of {buff_elements} and {1} layer(s) of {buff_extraordinary}, gain {2} shield.",{buff_elements}を{0}スタック、{buff_extraordinary}を{1}スタック獲得し、{2}シールドを獲得する。,
7,技能牌,TRUE,0,凝火术,凝火術,Fire Condensation,凝火術,"获得{0}层元素,给予敌人{1}层灼烧。","得到{0}層{buff_elements},給予敵人{1}層{buff_burn}。",Gain {0} layer(s) of {buff_elements},apply {1} layer(s) of {buff_burn} to all enemies.,{buff_elements}を{0}スタック獲得し、全ての敵に{buff_burn}を{1}スタック付与する。
8,技能牌,TRUE,1,绽放,綻放,Bloom,開花,"获得{0}层元素,给予敌人等量灼烧,并触发敌人的所有灼烧。","獲得{0}層{buff_elements},給予敵人等量{buff_burn},並觸發敵人所有{buff_burn}。","Gain {0} layer(s) of {buff_elements}, apply equal {buff_burn} to all enemies, trigger all their {buff_burn}. Draw {1} card.",{buff_elements}を{0}スタック獲得し、敵に同量{buff_burn}を付与し、敵の{buff_burn}を全て発動。カードを{1}枚引く。,
9,消耗技能牌,TRUE,1,罐装火元,罐裝火元,Bottled Fire Element,缶詰の火元,"获得{0}层元素,给予敌人{1}层灼烧,造成{2}点伤害。","得到{0}層{buff_elements},給予敵人{1}層{buff_burn},造成{2}點傷害。","Gain {0} layer(s) of {buff_elements}, apply {1} layer(s) of {buff_burn} to all enemies, deal {2} damage.",{buff_elements}を{0}スタック獲得し、全ての敵に{buff_burn}を{1}スタック付与し、{2}ダメージを与える。,
10,技能牌,TRUE,1,元素护盾,元素護盾,Elemental Shield,元素の盾,"获得{0}层元素,获得双倍元素层数点护盾。","獲得{0}層{buff_elements},獲得雙倍{buff_elements}層數點護盾。",Gain {0} layer(s) of {buff_elements},gain shield equal to 2× your {buff_elements} layers.,{buff_elements}を{0}スタック獲得し、{buff_elements}スタック数の2倍のシールドを獲得する。
11,技能牌,TRUE,1,元素升华,元素昇華,Elemental Ascension,元素昇華,"获得{0}层元素,抽取元素层数1/4张卡牌。最多10张","取得{0}層{buff_elements},抽取{buff_elements}層數1/4張卡牌。最多10張。","Gain {0} layer(s) of {buff_elements}, draw cards equal to 1/4 of {buff_elements} layers (max 10).",{buff_elements}を{0}スタック獲得し、{buff_elements}スタック数の1/4枚のカードを引く（最大10枚）。,
12,技能牌,TRUE,1,元素循环,元素循環,Elemental Cycle,元素循環,"获得{0}层元素,获得元素层数1/4点魔能。","得到{0}層{buff_elements},獲得{buff_elements}層數1/4點魔能。","Gain {0} layer(s) of {buff_elements}, gain mana equal to 1/4 of {buff_elements} layers.",{buff_elements}を{0}スタック獲得し、{buff_elements}スタック数の1/4のマナを獲得する。,
13,攻击牌,TRUE,1,元素爆发,元素爆發,Elemental Burst,元素爆発,"获得{0}层元素,对所有敌人造成等同于双倍元素层数点({1})伤害。","獲得{0}層{buff_elements},對所有敵人造成雙倍{buff_elements}層數點({1})傷害。","Gain {0} layer(s) of {buff_elements}, deal damage to all enemies equal to 2× your {buff_elements} layers.({1})",{buff_elements}を{0}スタック獲得し、全ての敵に{buff_elements}スタック数×2のダメージを与える({1})。,
