Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
对话Id,对话正文,,,选项1文本,,,,,,,,
1,……哈啊。,...Haaah.,……はあ。,,,,,,,,,
2,竟然真的被扔下来了……那个黑心老板，居然把还在休假的员工强制召回……,I really got thrown down here... That black-hearted boss actually dragged an employee on leave back to work...,マジで放り込まれた……あの黒心社長、休暇中の社員を強制召還とか。,,,,,,,,,
3,然后，作为勇者——啊不对，作为魔女的第一战，对手居然是这种果冻？,So as a hero—no,as a witch—my first battle is against... jelly?,で、勇者として——じゃなくて魔女としての初戦の相手が、このゼリー？,,,,,,,,
4,"欸？阿米莉娅酱，你这可说得太让人伤心了。我明明跟你说了，下面有很多""可爱的""普拉提可以当甜点哦？",Huh? Amelia-chan,"that's so hurtful. I told you there are lots of ""cute"" Platys down here to have as dessert~",え？アメリアちゃん、そんな言い方ひどい。下には「可愛い」プラティがおやつにいっぱいいるって言ったのに～,,,,,,,,
5,"我怎么觉得你说的""可爱""和""甜点""都带着股危险的味道啊。","Something about your ""cute"" and ""dessert"" feels really dangerous...",「可愛い」も「おやつ」も危険な匂いがするんだけど。,,,,,,,,,
6,看起来很有弹性的样子。如果不动的话，拿来当枕头应该不错……,Looks pretty bouncy. If it doesn't move,it'd make a nice pillow...,ぷにぷにしてそう。動かなきゃ枕にちょうどいいかも……,,,,,,,,
7,"呵呵，你倒是有心情开玩笑。不过，作为""甜点""它可不会老实待着哦？",Hehe,"you're in a joking mood. But as ""dessert"" it won't just sit still",you know?,呵呵、冗談言う余裕あるのね。でも「おやつ」として大人しくしてるわけじゃないわよ？,,,,,,,
8,呜哇，杀气！？对着我这种柔弱的美少女？真是的……,Whoa,killing intent!? At a delicate beauty like me? Really...,うわ、殺気！？私みたいな可憐な美少女に？もう……,,,,,,,,
9,阿米莉娅夸张地捂住了胸口，但却露出一副看尸体的眼神。,Amelia dramatically clutched her chest—but her eyes had a dead-fish stare.,アメリアは大げさに胸を押さえたが、目は死体を見るような冷めた目をしていた。,,,,,,,,,
10,"别装了，阿米莉娅酱。与其在这里捂着胸口扮演弱女子，不如赶紧动起来！你现在能用的""魔能""可不多，身体里沉睡的魔力回路，现在只有那么一点点。",Stop pretending,Amelia-chan. Rather than playing the damsel here,"get moving! The ""mana"" you can use now is barely a trickle—the magic circuits sleeping in your body are only that much.",演技はいいわアメリアちゃん。ここで胸押さえて弱女子ぶるより動きなさい！今使える「魔能」はほんの少し、体に眠る魔力回路もその程度なんだから。,,,,,,,
11,嘁，黑心上司还会关心员工体力了？,Tch,since when does the black-hearted boss care about employee stamina?,ちっ、黒心上司が社員の体力気にするの？,,,,,,,,
12,还要回忆一下战斗的细节吗……？,Want to recall the fight in detail...?,戦闘の細かいとこ、思い出す……？,是,Yes,はい,否,No,いいえ,,,
13,身体里沉睡的魔力回路，也就是所谓的魔能，只有那么一点点。虽然很想来个华丽的禁咒把这一带都炸平，但以现在的体力，顶多只能挥两下拳头呢。,The mana circuits sleeping in your body—your mana—are barely a trickle. You'd love to blow this whole place away with a flashy forbidden spell,but with your stamina now,you can only throw a couple of punches.,体に眠る魔力回路、つまり魔能はほんの少し。華麗な禁呪で一帯を吹き飛ばしたいけど、今の体力じゃ拳を二振りが限界ね。,,,,,,,
14,可恶，别小瞧了加班的怨念啊！！,Don't underestimate the grudge of overtime!!,舐めるな、残業の怨念を！！,,,,,,,,,
