Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
对话Id,对话正文,,,选项1文本,,,,,,,,
1,近来可好？希望我家的小<color=yellow>阿米莉娅</color>没给你添麻烦。,How have you been? I hope my little <color=yellow>Amelia</color> hasn't caused you any trouble.,ごきげんよう。うちの<color=yellow>アメリア</color>がご迷惑をおかけしていないと良いのですが。,她是个很可爱的孩子。,She's a very cute kid.,とても可愛い子ですね。,她怎么半路旷工了？,Why did she skip work halfway through?,どうして途中で仕事をサボったのですか？,,,
*2,您也这么觉得对吧？她是魔女们的前辈，是最得意的造物。,"You think so too, right? She is the senior of the witches, the most proud creation.",あなたもそう思いますでしょう？彼女は魔女たちの先輩であり、最も誇らしい創造物なのです。,,,,,,,,,
*3,很抱歉阿米莉娅给您添了麻烦，她平时自由散漫惯了……不过请相信我，她的个人作风问题不会影响她的工作效率。,"I'm sorry Amelia caused you trouble, she's used to being free and undisciplined... But please believe me, her personal style issues won't affect her work efficiency.",アメリアがご迷惑をおかけして申し訳ありません。彼女は普段から自由奔放なもので……ですが、信じてください。彼女の個人的な性格が仕事の効率に影響することはありません。,,,,,,,,,
4,相信您已经明白了我们的目标了，我们必须‘毁灭’<color=red>奥尔德林</color>。任务期间，魔女们将作为您最锋利的剑，而我则负责所有的后勤工作,"I believe you already understand our goal. We must 'destroy' <color=red>Aldrin</color>. During the mission, the witches will be your sharpest sword, and I will be responsible for all logistical work.",私たちの目標はもうご理解いただけたかと思います。私たちは<color=red>オルドリン</color>を『破壊』しなければなりません。任務中、魔女たちはあなたの最も鋭い剣となり、私はすべての後方支援を担当します。,,,,,,,,,
5,她看着你疑惑的神情，又瞥向<color=yellow>阿米莉娅</color>离去时还未关上的门，叹了口气,"She looked at your confused expression, then glanced at the door that <color=yellow>Amelia</color> hadn't closed when she left, and sighed.",彼女はあなたの戸惑いの表情を見て、それから<color=yellow>アメリア</color>が去り際に閉め忘れたドアに目をやり、ため息をつきました。,,,,,,,,,
6,请容许我再次说明，<color=red>奥尔德林</color>是这个电梯所通往的世界。简单来说，这个世界已经被污染了，为了防止它危害到其他世界的安全，我们只能将其彻底销毁。,"Please allow me to explain again. <color=red>Aldrin</color> is the world this elevator leads to. Simply put, this world has been contaminated, and to prevent it from endangering the safety of other worlds, we can only destroy it completely.",改めてご説明させてください。<color=red>オルドリン</color>とは、このエレベーターが通じている世界のことです。簡単に言えば、この世界はすでに汚染されており、他の世界の安全を脅かすのを防ぐため、我々はそれを完全に破壊するしかありません。,没有别的办法吗？,Is there no other way?,他に方法はないのですか？,我可以拒绝吗？,Can I refuse?,断ってもいいですか？,,,
*7,这是最可行的办法。也许您可以带领着魔女们，大喊着友情呀羁绊呀什么的，一路将世界的“大脑”连根拔起。,"This is the most feasible method. Perhaps you can lead the witches, shouting about friendship and bonds, and uproot the world's 'brain' along the way.",これが最も実行可能な方法です。あるいは、あなたが魔女たちを率いて、友情だの絆だのと叫びながら、世界の『脳』を根こそぎ引き抜くこともできるかもしれませんが。,,,,,,,,,
*8,这个时候了您就别说笑了……覆巢之下安有完卵？一旦防线被突破，就没有人可以独善其身。况且也只有您能担此大任。,"Don't joke at a time like this... When the nest is overturned, how can any egg remain unbroken? Once the line of defense is breached, no one can stand alone. Besides, only you can take on this great responsibility.",こんな時に冗談はおやめください……巣が覆されれば、残る卵がありましょうか？防衛線が突破されれば、誰一人として無事ではいられません。それに、この大役を担えるのはあなただけなのです。,,,,,,,,,
9,总而言之，您要做的就是出发冒险，一路探索收集物资，结交有志之士，一同讨伐上那九天之上的‘大脑’，一举摧毁整个世界。,"In short, what you need to do is to set out on an adventure, explore and collect supplies along the way, befriend like-minded people, and together, crusade against the 'brain' high above in the heavens to destroy the entire world in one fell swoop.",要するに、あなたがすべきことは冒険に出発し、道中で物資を集め、志を同じくする者たちと出会い、共に天上の『脳』を討伐し、一挙に世界全体を破壊することです。,,,,,,,,,
10,如果在冒险中死亡，您和魔女会被强制召回魔女屋，不过物资可就拿不回来了，务必慎重对待每一次冒险。一旦成功完成一次冒险，您将可以带回丰厚的物资，为之后的冒险提供助力。,"If you die during an adventure, you and the witch will be forcibly recalled to the Witch's House, but you won't be able to get your supplies back, so be sure to treat each adventure with caution. Once you successfully complete an adventure, you will be able to bring back abundant supplies to help with future adventures.",冒険中に死亡した場合、あなたと魔女は強制的に魔女の家へ送還されますが、物資は持ち帰れませんので、一つ一つの冒険を慎重に進めてください。冒険を無事に完了できれば、豊富な物資を持ち帰り、その後の冒険の助けとすることができます。,,,,,,,,,
11,如果您想要进行冒险，随时可以和魔女一同进入电梯。我让阿米莉娅回来，陪您完成第一次战斗，在您的指挥下一定可以旗开得胜！,"If you want to go on an adventure, you can enter the elevator with the witch at any time. I'll have Amelia come back to accompany you through the first battle. Under your command, you will surely be victorious!",冒険に出たい時は、いつでも魔女と一緒にエレベーターに入ってください。アメリアを呼び戻し、最初の戦闘にお供させます。あなたの指揮があれば、きっと幸先の良いスタートが切れるでしょう！,,,,,,,,,
12,如果还有需要询问的地方，我很乐意为您解答，我就在此敬候佳音~,"If there is anything else you need to ask, I will be happy to answer. I will be waiting here for good news~",他に何かお尋ねになりたいことがあれば、喜んでお答えします。それでは、ここで吉報をお待ちしております～,进入电梯，开始第一场冒险,Enter the elevator and start the first adventure,エレベーターに入り、最初の冒険を始める,,,,,,
