Id,Note,Name,Name_en,Name_ja,第 1 列,Description1,Description1_zh-Hant,Description1_en,Description1_ja,Description2,Description2_zh-Hant,Description2_en,Description2_ja,Level
Id,备注,名字,,,FALSE,图鉴特性1,,,,,,,,出没层数
10001,,普拉提黏黏,Platy Slime,プラティスライム,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,<title>果冻</title><main>弱小的低阶魔物，看起来很好吃</main>,<title>果凍</title><main>弱小的低階魔物，看起來很好吃</main>,<title>Jelly</title><main>A weak low-level monster that looks tasty</main>,<title>ゼリー</title><main>弱い下級モンスターで、美味しそうに見える</main>,1
10002,,红心女仆,Fragile Heart,ハートのメイド,TRUE,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<title>Growing Malice</title><main>Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,2
10003,,鼹鼠,Mole,モグラ,TRUE,<title>谋财为先</title><main>能够偷取金币</main>,<title>謀財為先</title><main>能夠偷取金幣</main>,<title>Putting Wealth First</title><main>Can steal gold coins</main>,<title>金銭を優先する</title><main>金貨を盗むことができる</main>,<title>走为上计</title><main>收获足够战利品或者生命低下时会逃跑</main>,<title>走為上計</title><main>獲得足夠戰利品或生命值過低時會逃跑</main>,<title>Run for Your Life</title><main>Escape when you've gathered enough loot or when your health is low</main>,<title>逃げるが勝ち</title><main>戦利品が十分あるか体力が低い時に逃げる</main>,1
10004,,灾厄先兆,The Greedy,災厄の前兆,TRUE,<title>灾厄一角</title><main>最为温和的一种灾厄</main>,<title>災厄一角</title><main>最溫和的一種災厄</main>,<title>Disaster Fragment</title><main>The mildest type of calamity</main>,<title>災厄の一部</title><main>最も穏やかな災厄の形</main>,,,,,1
10005,,猎食者,Unknown Mollusk,捕食者,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10007,,失心魔女,Mindless Witch,心を失った魔女,TRUE,<title>魔女躯壳</title><main>复制魔女的属性</main>,<title>魔女軀殼</title><main>複製魔女的屬性</main>,<title>Witch's Shell</title><main>Copies the witch's attributes</main>,<title>魔女の殻</title><main>魔女の特性をコピーする</main>,,,,,1
10008,,最后一餐,Last Supper,最後の晩餐,FALSE,<title>侵蚀护盾</title><main>能够清除魔女的护盾</main>,<title>侵蝕護盾</title><main>能夠解除魔女的護盾</main>,<title>Corrosive Shield</title><main>Can remove the witch's shield</main>,<title>浸食シールド</title><main>魔女のシールドを消すことができる</main>,,,,,2
10009,,梅花侍从,Club Servant,クラブの従者,TRUE,<title>永生者</title><main>难以被杀死</main>,<title>永生者</title><main>難以被殺死</main>,<title>Immortal</title><main>Hard to kill</main>,<title>不死者</title><main>倒しにくい</main>,,,,,1
10010,,深渊之触,Abyssal Touch,深淵の触手,TRUE,<title>渐入佳境</title><main>能够强化自身</main>,<title>漸入佳境</title><main>能夠強化自身</main>,<title>Getting Better and Better</title><main>Can strengthen oneself</main>,<title>次第に絶好調になる</title><main>自身を強化できる</main>,<title>勇者剑道</title><main>使用反击作为攻击手段</main>,<title>勇者劍道</title><main>以反擊作為攻擊手段</main>,<title>Heroic Swordsmanship</title><main>Uses thorns as offense</main>,<title>勇者の剣術</title><main>反撃を攻撃手段として使う</main>,2
10014,,幽怨之心,Resentful Heart,怨念の心臓,FALSE,<title>摇篮</title><main>能够削弱魔女的伤害</main>,<title>搖籃</title><main>能夠削弱魔女的傷害</main>,<title>Cradle</title><main>Reduces the witch's damage</main>,<title>ゆりかご</title><main>魔女のダメージを弱める</main>,<title>思维操纵</title><main>能够使魔女弃牌</main>,<title>思維操縱</title><main>能讓魔女棄牌</main>,<title>Mind Control</title><main>Forces the witch to discard cards</main>,<title>思考操縦</title><main>魔女に捨て札を強いることができる</main>,1
10015,,腐化巨蜥,Corrupted Giant Lizard,腐敗した巨大トカゲ,TRUE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10016,,混血狼裔,Half-Blood Wolf,混血の狼,TRUE,<title>膨胀恶意</title><main>不断的变强</main>,<title>膨脹惡意</title><main>會持續變強</main>,<title>Growing Malice</title><main>Grows stronger over time</main>,<title>膨張する悪意</title><main>時間と共に強くなる</main>,,,,,2
10017,,圣械协从,T-307 Iron Box,T-307 鉄の箱,FALSE,<title>外壳</title><main>抵御更多伤害</main>,<title>外殼</title><main>抵擋更多傷害</main>,<title>Shell</title><main>Provides extra damage resistance</main>,<title>殻</title><main>より多くのダメージを防ぐ</main>,,,,,1
10018,,惊喜礼物盒,Surprise Gift Box,サプライズギフトボックス,TRUE,<title>生存挑战</title><main>提前杀死他的话需要接受惩罚</main>,<title>生存挑戰</title><main>若提前擊殺會受到懲罰</main>,<title>Survival Challenge</title><main>Punished if killed early</main>,<title>サバイバルチャレンジ</title><main>早く倒すと罰を受ける</main>,,,,,1
10019,,莉莉,One-Eye,木偶,FALSE,<title>控制者</title><main>能够使魔女暂时停止行动</main>,<title>控制者</title><main>能使魔女暫停行動</main>,<title>Controller</title><main>Can temporarily stop the witch's actions</main>,<title>コントローラー</title><main>魔女の行動を一時停止させる</main>,<title>负伤</title><main>战斗会自带流血</main>,<title>負傷</title><main>戰鬥時會自帶流血效果</main>,<title>Wounded</title><main>Comes with bleeding in combat</main>,<title>負傷</title><main>戦闘時に出血効果を伴う</main>,1
10020,,守夜人,Bizarre Bug,災厄の予行演習,TRUE,<title>守御加护</title><main>短时间内受到的伤害存在上限</main>,<title>守護加護</title><main>短時間內所受傷害有上限</main>,<title>Guarded Blessing</title><main>Damage taken is capped for a short time</main>,<title>守護の加護</title><main>短時間ダメージに上限がある</main>,,,,,1
10021,,腐化主教,Corrupted Bishop,腐敗した主教,FALSE,<title>深渊祷告</title><main>能够清除魔女的强化效果</main>,<title>深淵祈禱</title><main>能夠清除魔女的強化效果</main>,<title>Abyssal Prayer</title><main>Can remove the witch's enhancement effects</main>,<title>深淵の祈り</title><main>魔女の強化効果を消すことができる</main>,,,,,2
10022,,普拉提之王,Platy King,プラティの王,TRUE,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>軍隊</title><main>不擊敗源頭的話，就會有源源不斷的敵人</main>,"<title>Army</title><main>If the source is not defeated, enemies will keep coming endlessly</main>",<title>軍隊</title><main>源を打ち破らなければ、次々と敵が現れるだろう</main>,,,,,2
10023,,普拉提壮壮,Platy Bruiser,プラティ・ブルーザー,TRUE,<title>军队</title><main>不击败源头的话，就会有源源不断的敌人</main>,<title>軍隊</title><main>不擊敗源頭的話，就會有源源不斷的敵人</main>,"<title>Army</title><main>If the source is not defeated, enemies will keep coming endlessly</main>",<title>軍隊</title><main>源を打ち破らなければ、次々と敵が現れるだろう</main>,,,,,2
10024,,腐化圣骑,Corrupted Paladin,腐敗した聖騎士,TRUE,<title>演化加护</title><main>受到攻击后变得更加难以击破</main>,<title>演化加護</title><main>受到攻擊後變得更加難以擊破</main>,<title>Evolutionary Guard</title><main>Becomes harder to break after being attacked</main>,<title>進化の加護</title><main>攻撃を受けるとさらに破られにくくなる</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<title>Compound Ailments</title><main>Uses attacks that inflict poison or burn</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,2
10025,,腐化蛛人,Swamp Touch,腐敗した蜘蛛人,TRUE,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>會使用能讓魔女中毒的攻擊</main>,<title>Kiss of the Viper</title><main>Can use attacks that poison witches</main>,<title>毒蛇のキス</title><main>魔女を中毒させる攻撃を使うことができる</main>,<title>恩赐祷告</title><main>能够清除自身的负面效果</main>,<title>恩賜祈禱</title><main>能夠解除自身的負面效果</main>,<title>Blessed Prayer</title><main>Can clear its own negative statuses</main>,<title>恩寵の祈り</title><main>自身のデバフを解除できる</main>,1
10026,,恶意聚合体,Calamity Rehearsal,災厄の予行演習,TRUE,<title>毒蛇之吻</title><main>会使用能让魔女中毒的攻击</main>,<title>毒蛇之吻</title><main>會使用能讓魔女中毒的攻擊</main>,<title>Kiss of the Viper</title><main>Can use attacks that poison witches</main>,<title>毒蛇のキス</title><main>魔女を中毒させる攻撃を使うことができる</main>,,,,,1
*99999,,测试者,Tester,テスター,FALSE,<title>小队</title><main>多个敌人组合</main>,<title>小隊</title><main>由多個敵人組成</main>,<title>Squad</title><main>A group made up of multiple enemies</main>,<title>小隊</title><main>複数の敵で構成されている</main>,,,,,1
10027,,永夜化身,Avatar of Eternal Night,常闇の化身,TRUE,<title>至高</title><main>无可匹敌的神明</main>,<title>至高</title><main>無可匹敵的神明</main>,<title>Supreme</title><main>Unmatched Deity</main>,<title>至高</title><main>比類なき神</main>,<title>复合异常</title><main>使用带有中毒或灼烧的攻击</main>,<title>複合異常</title><main>使用帶有中毒或灼燒的攻擊</main>,<title>Compound Ailments</title><main>Uses attacks that inflict poison or burn</main>,<title>複合異常</title><main>毒や火傷を与える攻撃を使用する</main>,2
10028,,方片舞者,Diamond Dancer,ダイヤの踊り子,TRUE,<title>酌定审判</title><main>依据魔女的手牌数给予伤害</main>,<title>酌定審判</title><main>依據魔女的手牌數給予傷害</main>,<title>Judgment at Discretion</title><main>Deal damage based on the number of cards in the witch's hand</main>,<title>汲み取り審判</title><main>魔女の手札の枚数に応じてダメージを与える</main>,,,,,1
10029,,暴怒残片,Fragment of Wrath	,憤怒の破片,TRUE,<title>战术小队</title><main>多个不同职能的敌人组合</main>,<title>戰術小隊</title><main>多個不同職能的敵人組合</main>,<title>Tactical Squad</title><main>A combination of enemies with different roles</main>,<title>タクティカルチーム</title><main>複数の異なる職能を持つ敵の組み合わせ</main>,,,,,2
10030,,深渊骑士（魔将 奥库塔尔）,Abyssal Knight,深淵の騎士,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>Unknown</title><main>Its name is unknowable</main>,<title>未知</title><main>その名を知ることはできない</main>,,,,,1
10031,,魔械,Demon Machine,魔械,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>Unknown</title><main>Its name is unknowable</main>,<title>未知</title><main>その名を知ることはできない</main>,,,,,3
10032,,魔将 帕梅拉,Succubus,サキュバス,FALSE,<title>未知</title><main>不可知其名</main>,<title>未知</title><main>不可知其名</main>,<title>Unknown</title><main>Its name is unknowable</main>,<title>未知</title><main>その名を知ることはできない</main>,,,,,2
