Id,Note,Name,Name_en,Name_ja,Description,Description_en,Description_ja
唯1标识,备注,名称,,,描述,,
defence,,魔力屏障,Defense,防御,增加{0}护盾。,Gain {0} Shield.,<color=yellow>{0}</color>のシールドを獲得する。
OrdinaryHit,,断脊,Ground Slam,地割り,造成{0}伤害。,Deal {0} damage.,{0}のダメージを与える。
QuadrupleHits,,破灭,Quadruple Strike,強襲,造成{0}伤害。,Deal {0} damage.,{0}のダメージを与える。
rejuvenation,,基础再生,Rejuvenation,回復,回复{0}生命。,Restore {0} health.,<color=green>{0}</color>のHPを回復する。
charmed,,时序魔法：停滞,Confusion,混乱,给与对方{0}层时停。,Apply 1 layer of {buff_timestop} to the enemy.,敵に{buff_timestop}を{0}スタック付与する。
OverrunWorkouts,,刃契,Blade Pact,刃の契約,给与自身{0}层锋锐。,Gain {0} layers of {buff_keenedge}.,自身に{buff_keenedge}を{0}スタック付与する。
NerveReflexes,,狂暴化,Deepening Corruption,狂暴化,给与自身{0}层狂暴。,Gain 1 layer of {buff_frenzy}.,自身に{buff_frenzy}を{0}スタック付与する。
fearless,,适应屏障,Lick Wounds,傷舐め,给与自身{0}层吸收。,Gain 4 layers of {buff_vitality}.,自身に{buff_vitality}を{0}スタック付与する。
Witness,,硬质化,Resistance,硬化,给与自身{0}层坚毅。,Gain 2 layers of {buff_impregnable}.,自身に{buff_impregnable}を{0}スタック付与する。
Toxin1,,腐渊之息：一阶,Origin of Decay,魔蝕の始まり,给与对方{0}层毒素。,Apply 3 layers of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin2,,腐渊之息：二阶,Breath of Corruption,腐淵の息吹,给与对方{0}层毒素。,Apply 4 layers of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin3,,蚀髓之刻：一阶,Marrow Erosion,蝕髄の刻,给与对方{0}层毒素。,Apply 5 layers of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin4,,蚀髓之刻：二阶,Abyss of Decay,腐髄の淵,给与对方{0}层毒素。,Apply 6 layers of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
foraging,,法杖敲头,Bite,噛みつき,造成{0}伤害。,Deal {0} damage.,{0}のダメージを与える。
Licking,,溃烂术,Stench,破甲,给与对方{0}回合腐朽。,Apply 1 turn of {buff_rotten} to the enemy.,敵に{buff_rotten}を{0}ターン付与する。
NeverDead,,活性化,Ancient Medicine,自己治癒,赋予自身{0}层自愈。,Gain 5 layers of {buff_evergreen}.,自身に{buff_evergreen}を{0}スタック付与する。
SuperFireBall,,魔爆术,Grand Fireball,炎爆,造成{0}伤害。,Deal {0} damage twice.,{0}のダメージを与える。
WeakLight,,无力化：一阶,Malicious Gaze,弱体化,赋予对方{0}层无力。,Apply 2 layers of {buff_weak} to the enemy.,敵に{buff_weak}を{0}スタック付与する。
OrdinaryFiveHit,,蝶翼复切,Butterfly Wing Cuts,蝶翼連斬,造成{0}伤害。,Deal {0} damage in rapid succession.,{0}のダメージを与える。
Weak,,无力化：二阶,Languor,虚弱,给与自身{0}层无力。,Gain {0} layers of {buff_weak}.,自身に{buff_weak}を{0}スタック付与する。
thief,,窃取,Steal,窃盗,偷窃对方{0}点金币。,Steal {0} Gold from the enemy.,敵から{0}ゴールドを盗む。
Thieves,,摸金术,Robbery,強奪,偷窃对方{0}点金币。,Forcibly take {0} Gold from the enemy.,敵から{0}ゴールドを強奪する。
Charge1,,蓄势,Stance Preparation,チャージ,正在进行蓄力。,Charging power...,チャージ中...
Charge2,,发条驱动,Initiative Drive,ゼンマイ駆動,正在进行蓄力。,Charging power...,チャージ中...
